Source	Target	Weight
12hpf:epidermal (foxi3a+)	16hpf:floorplate	0
12hpf:epidermal (gbx2+)	16hpf:floorplate	0
12hpf:hatching gland	16hpf:floorplate	0
12hpf:hindbrain	16hpf:floorplate	0
12hpf:mesoderm adaxial cells	16hpf:floorplate	0
12hpf:mesoderm lateral plate	16hpf:floorplate	0
12hpf:mesoderm lateral plate (fli1a+)	16hpf:floorplate	0
12hpf:mesoderm lateral plate (tbx1+)	16hpf:floorplate	0.0425531914893617
12hpf:midbrain	16hpf:floorplate	0
12hpf:neural anterior	16hpf:floorplate	0
12hpf:neural crest	16hpf:floorplate	0
12hpf:neural plate anterior	16hpf:floorplate	0
12hpf:neural plate posterior	16hpf:floorplate	0
12hpf:notochord	16hpf:floorplate	0.148936170212766
12hpf:periderm	16hpf:floorplate	0
12hpf:spinal cord	16hpf:floorplate	0
12hpf:tailbud mesoderm	16hpf:floorplate	0
12hpf:telencephalon	16hpf:floorplate	0
12hpf:anterior neural ridge	16hpf:gut	0.000881057268722467
12hpf:diencephalon	16hpf:gut	0.026431718061674
12hpf:diencephalon (aplnr2+)	16hpf:gut	0
12hpf:differentiating neurons	16hpf:gut	0.00440528634361234
12hpf:endoderm	16hpf:gut	0.846696035242291
12hpf:endothelial	16hpf:gut	0
12hpf:epidermal	16hpf:gut	0.0237885462555066
12hpf:epidermal (foxi3a+)	16hpf:gut	0.00440528634361234
12hpf:epidermal (gbx2+)	16hpf:gut	0.0114537444933921
12hpf:hatching gland	16hpf:gut	0
12hpf:hindbrain	16hpf:gut	0
12hpf:mesoderm adaxial cells	16hpf:gut	0
12hpf:mesoderm lateral plate	16hpf:gut	0
12hpf:mesoderm lateral plate (fli1a+)	16hpf:gut	0
12hpf:mesoderm lateral plate (tbx1+)	16hpf:gut	0
12hpf:midbrain	16hpf:gut	0.0026431718061674
12hpf:neural anterior	16hpf:gut	0
12hpf:neural crest	16hpf:gut	0.0149779735682819
12hpf:neural plate anterior	16hpf:gut	0.000881057268722467
12hpf:neural plate posterior	16hpf:gut	0
12hpf:notochord	16hpf:gut	0.0572687224669604
12hpf:periderm	16hpf:gut	0.00176211453744493
12hpf:spinal cord	16hpf:gut	0.00440528634361234
12hpf:tailbud mesoderm	16hpf:gut	0
12hpf:telencephalon	16hpf:gut	0
12hpf:anterior neural ridge	16hpf:hatching gland	0
12hpf:diencephalon	16hpf:hatching gland	0
12hpf:diencephalon (aplnr2+)	16hpf:hatching gland	0
12hpf:differentiating neurons	16hpf:hatching gland	0
12hpf:endoderm	16hpf:hatching gland	0
12hpf:endothelial	16hpf:hatching gland	0
12hpf:epidermal	16hpf:hatching gland	0
12hpf:epidermal (foxi3a+)	16hpf:hatching gland	0
